GWHAOTP00000001	GWHAOTP00000001	OriSeqID=Sbar1	Len=23709848	putative	Sbar1C163T23;Sbar1E163T9;Sbar1C164T6;Sbar1A164T61;Sbar1C164T9;Sbar1A164T63;Sbar1A164T64;Sbar1P164T58;Sbar1P164T59;Sbar1A165T86;Sbar1P165T37;Sbar1A165T87;Sbar1A165T88;Sbar1P165T67;Sbar1A166T168;Sbar1A166T169;Sbar1A166T170;Sbar1C166T14;Sbar1A166T162;Sbar1A166T163;Sbar1A166T171;Sbar1A166T172;Sbar1A166T173;Sbar1E166T0;Sbar1A166T164;Sbar1A166T165;Sbar1P166T93;Sbar1C166T29	Sbar1C163T23;Sbar1E163T9;Sbar1C164T6;Sbar1A164T61;Sbar1C164T9;Sbar1A164T63;Sbar1A164T64;Sbar1P164T58;Sbar1P164T59;Sbar1A165T86;Sbar1P165T37;Sbar1A165T87;Sbar1A165T88;Sbar1P165T67;Sbar1A166T168;Sbar1A166T169;Sbar1A166T170;Sbar1C166T14;Sbar1A166T162;Sbar1A166T163;Sbar1A166T171;Sbar1A166T172;Sbar1A166T173;Sbar1E166T0;Sbar1A166T164;Sbar1A166T165;Sbar1P166T93;Sbar1C166T29
GWHAOTP00000002	GWHAOTP00000002	OriSeqID=Sbar2	Len=31668170	saccharide	Sbar2A219T91;Sbar2C219T28;Sbar2P220T26;Sbar2P220T46;Sbar2A220T85;Sbar2A220T86;Sbar2P220T47;Sbar2A220T87;Sbar2P220T84;Sbar2P221T79;Sbar2C221T12;Sbar2A221T121;Sbar2A221T125;Sbar2A221T122;Sbar2P221T99;Sbar2C221T22;Sbar2A221T126;Sbar2A221T127;Sbar2A221T123;Sbar2C221T18;Sbar2E222T3;Sbar2P222T39;Sbar2A222T54;Sbar2A222T56;Sbar2A222T58;Sbar2C222T34	Sbar2A219T91;Sbar2C219T28;Sbar2P220T26;Sbar2P220T46;Sbar2A220T85;Sbar2A220T86;Sbar2P220T47;Sbar2A220T87;Sbar2P220T84;Sbar2P221T79;Sbar2C221T12;Sbar2A221T121;Sbar2A221T125;Sbar2A221T122;Sbar2P221T99;Sbar2C221T22;Sbar2A221T126;Sbar2A221T127;Sbar2A221T123;Sbar2C221T18;Sbar2E222T3;Sbar2P222T39;Sbar2A222T54;Sbar2A222T56;Sbar2A222T58;Sbar2C222T34
GWHAOTP00000002	GWHAOTP00000002	OriSeqID=Sbar2	Len=31668170	alkaloid	Sbar2C252T19;Sbar2A252T74;Sbar2C252T21;Sbar2A252T71;Sbar2P252T49;Sbar2A252T76;Sbar2A252T77;Sbar2A253T107;Sbar2A253T108;Sbar2A253T109	Sbar2C252T19;Sbar2A252T74;Sbar2C252T21;Sbar2A252T71;Sbar2P252T49;Sbar2A252T76;Sbar2A252T77;Sbar2A253T107;Sbar2A253T108;Sbar2A253T109
GWHAOTP00000002	GWHAOTP00000002	OriSeqID=Sbar2	Len=31668170	polyketide-alkaloid	Sbar2A259T130;Sbar2A259T127;Sbar2A259T132;Sbar2A260T113;Sbar2A260T114;Sbar2A260T115;Sbar2E260T5;Sbar2C260T10;Sbar2A260T119;Sbar2A260T117;Sbar2A260T118;Sbar2A260T120;Sbar2P261T22;Sbar2A261T81;Sbar2A261T87	Sbar2A259T130;Sbar2A259T127;Sbar2A259T132;Sbar2A260T113;Sbar2A260T114;Sbar2A260T115;Sbar2E260T5;Sbar2C260T10;Sbar2A260T119;Sbar2A260T117;Sbar2A260T118;Sbar2A260T120;Sbar2P261T22;Sbar2A261T81;Sbar2A261T87
GWHAOTP00000002	GWHAOTP00000002	OriSeqID=Sbar2	Len=31668170	saccharide	Sbar2A265T122;Sbar2P266T33;Sbar2A266T159;Sbar2A266T164;Sbar2A266T165;Sbar2A266T166	Sbar2A265T122;Sbar2P266T33;Sbar2A266T159;Sbar2A266T164;Sbar2A266T165;Sbar2A266T166
GWHAOTP00000003	GWHAOTP00000003	OriSeqID=Sbar3	Len=27355365	lignan	Sbar3A23T96;Sbar3C23T19;Sbar3C23T20;Sbar3C23T16;Sbar3A24T90;Sbar3C24T12;Sbar3A24T92	Sbar3A23T96;Sbar3C23T19;Sbar3C23T20;Sbar3C23T16;Sbar3A24T90;Sbar3C24T12;Sbar3A24T92
GWHAOTP00000003	GWHAOTP00000003	OriSeqID=Sbar3	Len=27355365	cyclopeptide	Sbar3A32T124;Sbar3A32T117;Sbar3C32T21;Sbar3A32T118;Sbar3C32T28;Sbar3A32T125;Sbar3A32T120;Sbar3A32T121;Sbar3C32T26;Sbar3A33T124;Sbar3C33T7;Sbar3C33T8;Sbar3C33T9;Sbar3C33T10;Sbar3A33T119;Sbar3C33T21;Sbar3A33T120;Sbar3A33T121;Sbar3A33T122;Sbar3C33T25;Sbar3A33T125;Sbar3A33T126;Sbar3C34T15;Sbar3A34T79;Sbar3A34T80;Sbar3A34T81;Sbar3A34T87;Sbar3A34T88;Sbar3A34T82;Sbar3A34T83;Sbar3C34T24;Sbar3A34T85;Sbar3A34T86;Sbar3A35T38;Sbar3C35T12;Sbar3C35T8;Sbar3A35T40;Sbar3C35T11;Sbar3C35T14;Sbar3C36T20	Sbar3A32T124;Sbar3A32T117;Sbar3C32T21;Sbar3A32T118;Sbar3C32T28;Sbar3A32T125;Sbar3A32T120;Sbar3A32T121;Sbar3C32T26;Sbar3A33T124;Sbar3C33T7;Sbar3C33T8;Sbar3C33T9;Sbar3C33T10;Sbar3A33T119;Sbar3C33T21;Sbar3A33T120;Sbar3A33T121;Sbar3A33T122;Sbar3C33T25;Sbar3A33T125;Sbar3A33T126;Sbar3C34T15;Sbar3A34T79;Sbar3A34T80;Sbar3A34T81;Sbar3A34T87;Sbar3A34T88;Sbar3A34T82;Sbar3A34T83;Sbar3C34T24;Sbar3A34T85;Sbar3A34T86;Sbar3A35T38;Sbar3C35T12;Sbar3C35T8;Sbar3A35T40;Sbar3C35T11;Sbar3C35T14;Sbar3C36T20
GWHAOTP00000004	GWHAOTP00000004	OriSeqID=Sbar4	Len=43011920	alkaloid	Sbar4C238T24;Sbar4A238T132;Sbar4P238T51;Sbar4A238T133;Sbar4A238T134;Sbar4A239T107;Sbar4A239T108;Sbar4A239T112;Sbar4A239T113;Sbar4A239T114;Sbar4C239T14;Sbar4C239T15;Sbar4P239T58;Sbar4A239T116;Sbar4C239T18;Sbar4A239T111;Sbar4E239T7;Sbar4A240T98;Sbar4A240T99;Sbar4C240T14;Sbar4P240T55	Sbar4C238T24;Sbar4A238T132;Sbar4P238T51;Sbar4A238T133;Sbar4A238T134;Sbar4A239T107;Sbar4A239T108;Sbar4A239T112;Sbar4A239T113;Sbar4A239T114;Sbar4C239T14;Sbar4C239T15;Sbar4P239T58;Sbar4A239T116;Sbar4C239T18;Sbar4A239T111;Sbar4E239T7;Sbar4A240T98;Sbar4A240T99;Sbar4C240T14;Sbar4P240T55
GWHAOTP00000004	GWHAOTP00000004	OriSeqID=Sbar4	Len=43011920	putative	Sbar4P277T90;Sbar4A277T167;Sbar4A277T168;Sbar4E277T2;Sbar4A277T165;Sbar4C277T20;Sbar4A277T166;Sbar4A277T170;Sbar4A277T171;Sbar4A277T173;Sbar4C277T26;Sbar4C278T10;Sbar4A278T147;Sbar4C278T22	Sbar4P277T90;Sbar4A277T167;Sbar4A277T168;Sbar4E277T2;Sbar4A277T165;Sbar4C277T20;Sbar4A277T166;Sbar4A277T170;Sbar4A277T171;Sbar4A277T173;Sbar4C277T26;Sbar4C278T10;Sbar4A278T147;Sbar4C278T22
GWHAOTP00000004	GWHAOTP00000004	OriSeqID=Sbar4	Len=43011920	cyclopeptide	Sbar4A396T119;Sbar4A396T112;Sbar4C396T21;Sbar4C396T12;Sbar4A396T114;Sbar4A396T116;Sbar4P396T57;Sbar4A397T118;Sbar4E397T1;Sbar4A397T119;Sbar4A397T120;Sbar4P397T85;Sbar4A397T124;Sbar4P397T94;Sbar4P397T44;Sbar4A397T122;Sbar4A397T125;Sbar4A397T123;Sbar4C397T23;Sbar4C398T19;Sbar4P398T94;Sbar4A398T132;Sbar4A398T133;Sbar4C398T27;Sbar4C398T24;Sbar4A398T140;Sbar4A398T141;Sbar4A398T137;Sbar4A398T138;Sbar4A398T142;Sbar4P399T98;Sbar4A399T126;Sbar4A399T127;Sbar4A399T120;Sbar4A399T121;Sbar4C399T20	Sbar4A396T119;Sbar4A396T112;Sbar4C396T21;Sbar4C396T12;Sbar4A396T114;Sbar4A396T116;Sbar4P396T57;Sbar4A397T118;Sbar4E397T1;Sbar4A397T119;Sbar4A397T120;Sbar4P397T85;Sbar4A397T124;Sbar4P397T94;Sbar4P397T44;Sbar4A397T122;Sbar4A397T125;Sbar4A397T123;Sbar4C397T23;Sbar4C398T19;Sbar4P398T94;Sbar4A398T132;Sbar4A398T133;Sbar4C398T27;Sbar4C398T24;Sbar4A398T140;Sbar4A398T141;Sbar4A398T137;Sbar4A398T138;Sbar4A398T142;Sbar4P399T98;Sbar4A399T126;Sbar4A399T127;Sbar4A399T120;Sbar4A399T121;Sbar4C399T20
GWHAOTP00000005	GWHAOTP00000005	OriSeqID=Sbar5	Len=33867999	terpene	Sbar5A237T106;Sbar5A237T108;Sbar5A237T109;Sbar5A237T110;Sbar5A238T172;Sbar5A238T173;Sbar5P238T60;Sbar5A238T182;Sbar5A238T183;Sbar5A238T184;Sbar5A238T185;Sbar5A238T175	Sbar5A237T106;Sbar5A237T108;Sbar5A237T109;Sbar5A237T110;Sbar5A238T172;Sbar5A238T173;Sbar5P238T60;Sbar5A238T182;Sbar5A238T183;Sbar5A238T184;Sbar5A238T185;Sbar5A238T175
