CM022518.1	CM022518.1 Lactuca sativa cultivar Salinas chromosome 1, whole genome shotgun sequence	lignan	LSAT_1X19380;LSAT_1X19401;LSAT_1X19420;LSAT_1X19460;LSAT_1X19481;LSAT_1X19500;LSAT_1X19521;LSAT_1X19541;LSAT_1X19560;LSAT_1X19581;LSAT_1X19601;LSAT_1X19640;LSAT_1X19661;LSAT_1X19681;LSAT_1X19741	PLY77978.1;PLY77891.1;PLY77852.1;PLY77935.1;PLY77886.1;PLY77888.1;PLY77982.1;PLY77860.1;PLY77899.1;PLY77930.1;PLY77957.1;PLY77868.1;PLY77915.1;PLY77963.1;PLY77922.1
CM022519.1	CM022519.1 Lactuca sativa cultivar Salinas chromosome 2, whole genome shotgun sequence	polyketide	LSAT_2X43640;LSAT_2X43661;LSAT_2X43681;LSAT_2X43700;LSAT_2X43740;LSAT_2X43721;LSAT_2X43760;LSAT_2X43780;LSAT_2X43840;LSAT_2X43861;LSAT_2X42720;LSAT_2X42760;LSAT_2X42860;LSAT_2X42881;LSAT_2X42901;LSAT_2X42941;LSAT_2X43080;LSAT_2X43101	PLY73478.1;PLY73486.1;PLY73493.1;PLY73474.1;PLY73489.1;PLY73495.1;PLY73480.1;PLY73490.1;PLY73492.1;PLY73483.1;PLY73485.1;PLY73488.1;PLY73476.1;PLY73497.1;PLY73487.1;PLY73473.1;PLY73484.1;PLY73472.1
CM022519.1	CM022519.1 Lactuca sativa cultivar Salinas chromosome 2, whole genome shotgun sequence	saccharide	LSAT_2X96600;LSAT_2X96621;LSAT_2X96641;LSAT_2X96660;LSAT_2X96681;LSAT_2X96701;LSAT_2X96721;LSAT_2X96761;LSAT_2X96780	PLY93576.1;PLY93560.1;PLY93624.1;PLY93601.1;PLY93577.1;PLY93610.1;PLY93546.1;PLY93581.1;PLY93606.1
CM022519.1	CM022519.1 Lactuca sativa cultivar Salinas chromosome 2, whole genome shotgun sequence	saccharide-terpene	LSAT_2X119720;LSAT_2X119741;LSAT_2X119760;LSAT_2X119780;LSAT_2X119821;LSAT_2X119841;LSAT_2X119861;LSAT_2X119880;LSAT_2X119940;LSAT_2X119980;LSAT_2X120001;LSAT_2X120021	PLY90366.1;PLY90296.1;PLY90320.1;PLY90347.1;PLY90304.1;PLY90327.1;PLY90350.1;PLY90367.1;PLY90354.1;PLY90305.1;PLY90338.1;PLY90363.1
CM022520.1	CM022520.1 Lactuca sativa cultivar Salinas chromosome 3, whole genome shotgun sequence	alkaloid	LSAT_3X55381;LSAT_3X55361;LSAT_3X55340;LSAT_3X55280;LSAT_3X55241;LSAT_3X55220;LSAT_3X55200;LSAT_3X56500;LSAT_3X55161;LSAT_3X55121;LSAT_3X53040;LSAT_3X53020;LSAT_3X53001;LSAT_3X55101;LSAT_3X55080;LSAT_3X55041;LSAT_3X55021;LSAT_3X55001;LSAT_3X54941;LSAT_3X54960;LSAT_3X54921;LSAT_3X54900	PLY78971.1;PLY78966.1;PLY78959.1;PLY78964.1;PLY78954.1;PLY78958.1;PLY78965.1;PLY67260.1;PLY89882.1;PLY89880.1;PLY89879.1;PLY89881.1;PLY89883.1;PLY85265.1;PLY85255.1;PLY85275.1;PLY85274.1;PLY85301.1;PLY85296.1;PLY85269.1;PLY85294.1;PLY85261.1
CM022520.1	CM022520.1 Lactuca sativa cultivar Salinas chromosome 3, whole genome shotgun sequence	putative	LSAT_3X132580;LSAT_3X132561;LSAT_3X132541;LSAT_3X132520;LSAT_3X132480;LSAT_3X134240;LSAT_3X134220;LSAT_3X133181;LSAT_3X133140;LSAT_3X134041;LSAT_3X133981;LSAT_3X133761;LSAT_3X133881;LSAT_3X133940;LSAT_3X134181;LSAT_3X134400;LSAT_3X133701;LSAT_3X133680;LSAT_3X133660;LSAT_3X134300;LSAT_3X135541;LSAT_3X135520;LSAT_3X135500;LSAT_3X135480;LSAT_3X135441;LSAT_3X135420;LSAT_3X135401;LSAT_3X135321;LSAT_3X135300	PLY80392.1;PLY80381.1;PLY80385.1;PLY80390.1;PLY80389.1;PLY70062.1;PLY70060.1;PLY70061.1;PLY70059.1;PLY87544.1;PLY87545.1;PLY68322.1;PLY68323.1;PLY68321.1;PLY61770.1;PLY68006.1;PLY83117.1;PLY83118.1;PLY83120.1;PLY83119.1;PLY86177.1;PLY86173.1;PLY86171.1;PLY86175.1;PLY86170.1;PLY86172.1;PLY86176.1;PLY86169.1;PLY86174.1
CM022521.1	CM022521.1 Lactuca sativa cultivar Salinas chromosome 4, whole genome shotgun sequence	putative	LSAT_4X30681;LSAT_4X30620;LSAT_6X37081;LSAT_6X37041;LSAT_4X31880;LSAT_4X31900;LSAT_4X31920;LSAT_4X31941;LSAT_4X31960;LSAT_4X31980;LSAT_4X32000;LSAT_4X32020;LSAT_4X32040;LSAT_4X32061;LSAT_4X32141;LSAT_4X32101	PLY99879.1;PLY99838.1;PLY99833.1;PLY99868.1;PLY99843.1;PLY99883.1;PLY99851.1;PLY99853.1;PLY99867.1;PLY99889.1;PLY99854.1;PLY99870.1;PLY99881.1;PLY99836.1;PLY99841.1;PLY99874.1
CM022521.1	CM022521.1 Lactuca sativa cultivar Salinas chromosome 4, whole genome shotgun sequence	putative	LSAT_4X82400;LSAT_4X82421;LSAT_4X82440;LSAT_4X82460;LSAT_4X82500;LSAT_4X82521;LSAT_4X82541;LSAT_4X82580	PLY63661.1;PLY63619.1;PLY63630.1;PLY63650.1;PLY63649.1;PLY63628.1;PLY63677.1;PLY63644.1
CM022521.1	CM022521.1 Lactuca sativa cultivar Salinas chromosome 4, whole genome shotgun sequence	saccharide	LSAT_4X129521;LSAT_4X129501;LSAT_4X129800;LSAT_4X129780;LSAT_4X129760;LSAT_4X128980;LSAT_4X129720;LSAT_4X129700;LSAT_4X129680;LSAT_4X129660;LSAT_4X129921;LSAT_4X129880;LSAT_4X129940	PLY67421.1;PLY67419.1;PLY97198.1;PLY97196.1;PLY97197.1;PLY67104.1;PLY67100.1;PLY67103.1;PLY67101.1;PLY67109.1;PLY67111.1;PLY67112.1;PLY67102.1
CM022522.1	CM022522.1 Lactuca sativa cultivar Salinas chromosome 5, whole genome shotgun sequence	cyclopeptide	LSAT_5X17320;LSAT_5X17301;LSAT_5X17281;LSAT_5X17220;LSAT_5X17200;LSAT_5X17180;LSAT_5X17161;LSAT_5X17121;LSAT_5X17100;LSAT_5X17081;LSAT_5X17060;LSAT_5X17040;LSAT_5X17020;LSAT_5X17000;LSAT_5X16941;LSAT_5X16921;LSAT_5X16900;LSAT_5X16880;LSAT_5X16860;LSAT_5X16840;LSAT_5X16740;LSAT_5X16720	PLY94161.1;PLY94147.1;PLY94138.1;PLY94170.1;PLY94134.1;PLY94174.1;PLY94139.1;PLY94162.1;PLY94176.1;PLY94157.1;PLY94148.1;PLY94135.1;PLY94172.1;PLY94158.1;PLY94168.1;PLY94181.1;PLY94143.1;PLY94149.1;PLY94146.1;PLY94171.1;PLY94166.1;PLY94154.1
CM022523.1	CM022523.1 Lactuca sativa cultivar Salinas chromosome 6, whole genome shotgun sequence	saccharide	LSAT_6X17060;LSAT_6X17041;LSAT_6X17021;LSAT_6X17001;LSAT_6X16960;LSAT_6X17380;LSAT_6X17400;LSAT_6X17421;LSAT_6X17460;LSAT_6X17480;LSAT_6X17501;LSAT_6X17540;LSAT_6X17581	PLY72842.1;PLY72830.1;PLY72849.1;PLY72798.1;PLY72809.1;PLY72810.1;PLY72848.1;PLY72801.1;PLY72846.1;PLY72807.1;PLY72829.1;PLY72819.1;PLY72845.1
