chr10_1	chr10_1	saccharide	RHC10H1G2071.2;RHC10H1G2072.2;RHC10H1G2073.2;RHC10H1G2074.2;RHC10H1G2075.2;RHC10H1G2076.2;RHC10H1G2077.2;RHC10H1G2078.2;RHC10H1G2079.2;RHC10H1G2080.2;RHC10H1G2081.2;RHC10H1G2082.2;RHC10H1G2083.2;RHC10H1G2084.2;RHC10H1G2085.2;RHC10H1G2086.2;RHC10H1G2087.2;RHC10H1G2088.2;RHC10H1G2089.2;RHC10H1G2090.2;RHC10H1G2091.2;RHC10H1G2092.2;RHC10H1G2093.2;RHC10H1G2094.2	RHC10H1G2071.2;RHC10H1G2072.2;RHC10H1G2073.2;RHC10H1G2074.2;RHC10H1G2075.2;RHC10H1G2076.2;RHC10H1G2077.2;RHC10H1G2078.2;RHC10H1G2079.2;RHC10H1G2080.2;RHC10H1G2081.2;RHC10H1G2082.2;RHC10H1G2083.2;RHC10H1G2084.2;RHC10H1G2085.2;RHC10H1G2086.2;RHC10H1G2087.2;RHC10H1G2088.2;RHC10H1G2089.2;RHC10H1G2090.2;RHC10H1G2091.2;RHC10H1G2092.2;RHC10H1G2093.2;RHC10H1G2094.2
chr10_2	chr10_2	putative	RHC10H2G1483.2;RHC10H2G1484.2;RHC10H2G1485.2;RHC10H2G1486.2;RHC10H2G1487.2;RHC10H2G1488.2;RHC10H2G1489.2;RHC10H2G1490.2;RHC10H2G1491.2;RHC10H2G1492.2;RHC10H2G1493.2;RHC10H2G1494.2;RHC10H2G1495.2;RHC10H2G1496.2;RHC10H2G1497.2;RHC10H2G1498.2;RHC10H2G1499.2;RHC10H2G1500.2;RHC10H2G1501.2	RHC10H2G1483.2;RHC10H2G1484.2;RHC10H2G1485.2;RHC10H2G1486.2;RHC10H2G1487.2;RHC10H2G1488.2;RHC10H2G1489.2;RHC10H2G1490.2;RHC10H2G1491.2;RHC10H2G1492.2;RHC10H2G1493.2;RHC10H2G1494.2;RHC10H2G1495.2;RHC10H2G1496.2;RHC10H2G1497.2;RHC10H2G1498.2;RHC10H2G1499.2;RHC10H2G1500.2;RHC10H2G1501.2
chr10_2	chr10_2	saccharide	RHC10H2G1794.2;RHC10H2G1795.2;RHC10H2G1796.2;RHC10H2G1797.2;RHC10H2G1798.2;RHC10H2G1799.2;RHC10H2G1800.2;RHC10H2G1801.2;RHC10H2G1802.2	RHC10H2G1794.2;RHC10H2G1795.2;RHC10H2G1796.2;RHC10H2G1797.2;RHC10H2G1798.2;RHC10H2G1799.2;RHC10H2G1800.2;RHC10H2G1801.2;RHC10H2G1802.2
chr10_2	chr10_2	saccharide-alkaloid	RHC10H2G1878.2;RHC10H2G1879.2;RHC10H2G1880.2;RHC10H2G1881.2;RHC10H2G1882.2;RHC10H2G1883.2;RHC10H2G1884.2;RHC10H2G1885.2;RHC10H2G1886.2;RHC10H2G1887.2;RHC10H2G1888.2;RHC10H2G1889.2;RHC10H2G1890.2	RHC10H2G1878.2;RHC10H2G1879.2;RHC10H2G1880.2;RHC10H2G1881.2;RHC10H2G1882.2;RHC10H2G1883.2;RHC10H2G1884.2;RHC10H2G1885.2;RHC10H2G1886.2;RHC10H2G1887.2;RHC10H2G1888.2;RHC10H2G1889.2;RHC10H2G1890.2
chr10_2	chr10_2	saccharide	RHC10H2G2100.2;RHC10H2G2101.2;RHC10H2G2102.2;RHC10H2G2103.2;RHC10H2G2104.2;RHC10H2G2105.2;RHC10H2G2106.2	RHC10H2G2100.2;RHC10H2G2101.2;RHC10H2G2102.2;RHC10H2G2103.2;RHC10H2G2104.2;RHC10H2G2105.2;RHC10H2G2106.2
chr10_2	chr10_2	putative	RHC10H2G2460.2;RHC10H2G2461.2;RHC10H2G2462.2;RHC10H2G2463.2;RHC10H2G2464.2;RHC10H2G2465.2;RHC10H2G2466.2;RHC10H2G2467.2;RHC10H2G2468.2;RHC10H2G2469.2;RHC10H2G2470.2;RHC10H2G2471.2;RHC10H2G2472.2;RHC10H2G2473.2;RHC10H2G2474.2;RHC10H2G2475.2;RHC10H2G2476.2;RHC10H2G2477.2;RHC10H2G2478.2;RHC10H2G2479.2;RHC10H2G2480.2;RHC10H2G2481.2;RHC10H2G2482.2;RHC10H2G2483.2	RHC10H2G2460.2;RHC10H2G2461.2;RHC10H2G2462.2;RHC10H2G2463.2;RHC10H2G2464.2;RHC10H2G2465.2;RHC10H2G2466.2;RHC10H2G2467.2;RHC10H2G2468.2;RHC10H2G2469.2;RHC10H2G2470.2;RHC10H2G2471.2;RHC10H2G2472.2;RHC10H2G2473.2;RHC10H2G2474.2;RHC10H2G2475.2;RHC10H2G2476.2;RHC10H2G2477.2;RHC10H2G2478.2;RHC10H2G2479.2;RHC10H2G2480.2;RHC10H2G2481.2;RHC10H2G2482.2;RHC10H2G2483.2
chr11_2	chr11_2	terpene	RHC11H2G0489.2;RHC11H2G0490.2;RHC11H2G0491.2;RHC11H2G0492.2;RHC11H2G0493.2;RHC11H2G0494.2;RHC11H2G0495.2;RHC11H2G0496.2;RHC11H2G0497.2;RHC11H2G0498.2;RHC11H2G0499.2;RHC11H2G0500.2;RHC11H2G0501.2;RHC11H2G0502.2;RHC11H2G0503.2;RHC11H2G0504.2;RHC11H2G0505.2;RHC11H2G0506.2	RHC11H2G0489.2;RHC11H2G0490.2;RHC11H2G0491.2;RHC11H2G0492.2;RHC11H2G0493.2;RHC11H2G0494.2;RHC11H2G0495.2;RHC11H2G0496.2;RHC11H2G0497.2;RHC11H2G0498.2;RHC11H2G0499.2;RHC11H2G0500.2;RHC11H2G0501.2;RHC11H2G0502.2;RHC11H2G0503.2;RHC11H2G0504.2;RHC11H2G0505.2;RHC11H2G0506.2
chr11_2	chr11_2	saccharide	RHC11H2G1936.2;RHC11H2G1937.2;RHC11H2G1938.2;RHC11H2G1939.2;RHC11H2G1940.2;RHC11H2G1941.2;RHC11H2G1942.2;RHC11H2G1943.2;RHC11H2G1944.2;RHC11H2G1945.2;RHC11H2G1946.2;RHC11H2G1947.2;RHC11H2G1948.2;RHC11H2G1949.2;RHC11H2G1950.2;RHC11H2G1951.2;RHC11H2G1952.2;RHC11H2G1953.2;RHC11H2G1954.2;RHC11H2G1955.2;RHC11H2G1956.2;RHC11H2G1957.2;RHC11H2G1958.2;RHC11H2G1959.2	RHC11H2G1936.2;RHC11H2G1937.2;RHC11H2G1938.2;RHC11H2G1939.2;RHC11H2G1940.2;RHC11H2G1941.2;RHC11H2G1942.2;RHC11H2G1943.2;RHC11H2G1944.2;RHC11H2G1945.2;RHC11H2G1946.2;RHC11H2G1947.2;RHC11H2G1948.2;RHC11H2G1949.2;RHC11H2G1950.2;RHC11H2G1951.2;RHC11H2G1952.2;RHC11H2G1953.2;RHC11H2G1954.2;RHC11H2G1955.2;RHC11H2G1956.2;RHC11H2G1957.2;RHC11H2G1958.2;RHC11H2G1959.2
chr12_1	chr12_1	terpene	RHC12H1G0632.2;RHC12H1G0633.2;RHC12H1G0634.2;RHC12H1G0635.2;RHC12H1G0636.2	RHC12H1G0632.2;RHC12H1G0633.2;RHC12H1G0634.2;RHC12H1G0635.2;RHC12H1G0636.2
chr12_1	chr12_1	saccharide	RHC12H1G0663.2;RHC12H1G0664.2;RHC12H1G0665.2;RHC12H1G0666.2;RHC12H1G0667.2;RHC12H1G0668.2;RHC12H1G0669.2;RHC12H1G0670.2;RHC12H1G0671.2;RHC12H1G0672.2;RHC12H1G0673.2;RHC12H1G0674.2;RHC12H1G0675.2;RHC12H1G0676.2;RHC12H1G0677.2;RHC12H1G0678.2;RHC12H1G0679.2;RHC12H1G0680.2;RHC12H1G0681.2;RHC12H1G0682.2;RHC12H1G0683.2;RHC12H1G0684.2	RHC12H1G0663.2;RHC12H1G0664.2;RHC12H1G0665.2;RHC12H1G0666.2;RHC12H1G0667.2;RHC12H1G0668.2;RHC12H1G0669.2;RHC12H1G0670.2;RHC12H1G0671.2;RHC12H1G0672.2;RHC12H1G0673.2;RHC12H1G0674.2;RHC12H1G0675.2;RHC12H1G0676.2;RHC12H1G0677.2;RHC12H1G0678.2;RHC12H1G0679.2;RHC12H1G0680.2;RHC12H1G0681.2;RHC12H1G0682.2;RHC12H1G0683.2;RHC12H1G0684.2
chr12_1	chr12_1	saccharide	RHC12H1G1821.2;RHC12H1G1822.2;RHC12H1G1823.2;RHC12H1G1824.2;RHC12H1G1825.2;RHC12H1G1826.2;RHC12H1G1827.2;RHC12H1G1828.2;RHC12H1G1829.2;RHC12H1G1830.2;RHC12H1G1831.2;RHC12H1G1832.2;RHC12H1G1833.2;RHC12H1G1834.2;RHC12H1G1835.2;RHC12H1G1836.2	RHC12H1G1821.2;RHC12H1G1822.2;RHC12H1G1823.2;RHC12H1G1824.2;RHC12H1G1825.2;RHC12H1G1826.2;RHC12H1G1827.2;RHC12H1G1828.2;RHC12H1G1829.2;RHC12H1G1830.2;RHC12H1G1831.2;RHC12H1G1832.2;RHC12H1G1833.2;RHC12H1G1834.2;RHC12H1G1835.2;RHC12H1G1836.2
